,Ticker,Date,Headline
61,FB,"Wed, 21 Mar 2018 20:00:00 -0400",Keybanc's Andy Hargreaves Says Facebook's Problems Can Be Fixed
62,AMZN,"Wed, 21 Mar 2018 20:00:00 -0400",Twitch CEO Emmett Shear: We're Continuing To Double-Down On Gaming
63,FB,"Wed, 21 Mar 2018 20:00:00 -0400",Will Take Years For Facebook To Change User Data Protection Process: Twitter's Chris Moody
64,FB,"Tue, 20 Mar 2018 20:00:00 -0400",Opposing Views on the Facebook Controversy
65,FB,"Tue, 20 Mar 2018 20:00:00 -0400",Facebook Lost as Much as $60B in Market Cap Since Data Breach
66,FB,"Tue, 20 Mar 2018 20:00:00 -0400",Techonomy CEO Says Facebook Is Truly Broken
67,TSLA,"Tue, 20 Mar 2018 20:00:00 -0400",What Elon Musk's Payday Means for Tesla's Future
68,FB,"Mon, 19 Mar 2018 20:00:00 -0400",Manipulating Facebook Data Using Psychographic Targeting
69,MSFT,"Mon, 19 Mar 2018 20:00:00 -0400","Microsoft The Most 'Stable' Of Big Tech, Says Jim Cramer"
70,AAPL,"Sun, 18 Mar 2018 20:00:00 -0400",Apple Said to Have Secret Display Manufacturing Facility in California
71,AAPL,"Thu, 15 Mar 2018 20:00:00 -0400",NYT's Jim Stewart: Qualcomm Vs. Apple An ‘Unusual' Feud
72,AMZN,"Thu, 15 Mar 2018 20:00:00 -0400",Amazon's Dominance Has Changed the Landscape for Corporate America
73,AMZN,"Thu, 15 Mar 2018 20:00:00 -0400","Market in 'Hurry to Discount' Amazon Rivals, Says NYU's Galloway"
74,AMZN,"Wed, 28 Mar 2018 20:00:00 -0400",Tech Giants Face Political Reckoning
75,TSLA,"Wed, 28 Mar 2018 20:00:00 -0400",Instinet's Shah Says Tesla Has Tremendous Momentum in Electric Vehicles
76,TSLA,"Wed, 28 Mar 2018 20:00:00 -0400",Is Tesla Running on Empty?
77,MSFT,"Wed, 28 Mar 2018 20:00:00 -0400",Microsoft (MSFT) and Lockheed Martin (LMT): Growth and Income Stocks
78,NVDA,"Tue, 27 Mar 2018 20:00:00 -0400",Nvidia Has Some Big Challenges Ahead: Kevin O'Leary And Jason Calacanis On Tech Stocks
79,FB,"Tue, 27 Mar 2018 20:00:00 -0400","'Stunning' That Zuckerberg Won't Testify in U.K., Wieser Says"
80,FB,"Tue, 27 Mar 2018 20:00:00 -0400","Facebook to Roll Out New Privacy, Security Settings"
81,AMZN,"Tue, 27 Mar 2018 20:00:00 -0400","Amazon's Goal Is 'World Domination,' Chukumba Says"
82,TSLA,"Tue, 27 Mar 2018 20:00:00 -0400",Will Tesla Make Software Updates as Authorities Investigate a Crash?
83,AMZN,"Tue, 27 Mar 2018 20:00:00 -0400",Kohl's CEO: Amazon Partnership | Mad Money
84,FB,"Mon, 26 Mar 2018 20:07:51 -0400",Cambridge Analytica and Facebook's Data Collection Problem | Forbes Tech
85,GOOG,"Mon, 26 Mar 2018 20:00:00 -0400",Why Google May Owe Oracle Billions of Dollars
86,FB,"Mon, 26 Mar 2018 20:00:00 -0400","Zuckerberg Would Be 'Shredded' by Congress, Aegis's Anthony Says"
87,AAPL,"Mon, 26 Mar 2018 20:00:00 -0400","Apple Services to Drive Next Leg of Growth, Says Schoenstein"
88,GOOG,"Mon, 26 Mar 2018 20:00:00 -0400",Waymo Inks Self-Driving Car Deal With Jaguar
89,FB,"Sun, 25 Mar 2018 20:00:00 -0400",FTC Confirms It Is Investigating Facebook's Data Practices
90,MSFT,"Sun, 25 Mar 2018 20:00:00 -0400",Microsoft's Path To $1 Trillion Market Cap
91,FB,"Thu, 22 Mar 2018 20:00:00 -0400",Kevin O'Leary: I Don't Want To See Facebook Get Regulated Out Of Its Productivity
92,AMZN,"Thu, 05 Apr 2018 20:00:00 -0400",President Donald Trump Claims Amazon Is Ripping Off The Post Office
93,FB,"Thu, 05 Apr 2018 20:00:00 -0400",Facebook will have to address the decline in tech stocks: Dana Perino
94,TSLA,"Thu, 05 Apr 2018 20:00:00 -0400",Analysis: Why it's time for Tesla to grow up
95,AAPL,"Thu, 05 Apr 2018 20:00:00 -0400",Apple hiring Google's former AI chief
96,TSLA,"Thu, 05 Apr 2018 20:00:00 -0400",Tesla back on the road to recovery?
97,FB,"Thu, 05 Apr 2018 20:00:00 -0400",How The Facebook Fallout Affects Funding In Silicon Valley
98,FB,"Wed, 04 Apr 2018 20:00:00 -0400",Mark Zuckerberg: Need To Ensure Developers Protect Data
99,FB,"Wed, 04 Apr 2018 20:00:00 -0400","Jim Cramer: Mark Zuckerberg Said Nothing Material, It Was An Reaffirmation Of Earnings"
100,AMZN,"Wed, 04 Apr 2018 20:00:00 -0400",Amazon Is Sitting on a Profit Goldmine That Has Zero to Do With Retail
101,FB,"Wed, 04 Apr 2018 20:00:00 -0400",Sheryl Sandberg Says Facebook Needs to Do Better Protecting Data
102,NVDA,"Tue, 03 Apr 2018 20:00:00 -0400",Secretive Chinese Bitcoin Mining Company Just Revealed A New Chip That Could Hurt Nvidia and AMD.
103,AMZN,"Tue, 03 Apr 2018 20:00:00 -0400",Are the White House Knives Out for Amazon?
104,FB,"Tue, 03 Apr 2018 20:00:00 -0400",Facebook Admits Up to 87M People Affected by Cambridge Analytica
105,TSLA,"Tue, 03 Apr 2018 20:00:00 -0400",How China Tariffs Would Hit The Automaker Industry
106,AMZN,"Tue, 03 Apr 2018 20:00:00 -0400",Oracle's Catz Said to Discuss Amazon Contract Fight at Dinner With Trump
107,FB,"Tue, 03 Apr 2018 20:00:00 -0400",Facebook Did Not Take Broad Enough Look Toward User Data
108,TSLA,"Tue, 03 Apr 2018 20:00:00 -0400",Tesla Braces for Steeper China Taxes
109,AAPL,"Tue, 03 Apr 2018 20:00:00 -0400","Apple Working on Touchless Control, Curved Screen for iPhones"
110,AMZN,"Mon, 02 Apr 2018 20:00:00 -0400",Kevin O'Leary On Amazon's Jeff Bezos: I Don't Think A CEO Should Run A Newspaper
111,AMZN,"Mon, 02 Apr 2018 20:00:00 -0400",President Donald Trump: Amazon Can Afford Fair Rate For Post Office
112,AMZN,"Mon, 02 Apr 2018 20:00:00 -0400",What Potential Amazon Regulation Could Mean for Silicon Valley
113,TSLA,"Mon, 02 Apr 2018 20:00:00 -0400",Tesla Falls Short of 1Q Model 3 Vehicle Target
114,AAPL,"Mon, 02 Apr 2018 20:00:00 -0400",Kara Swisher: I Think Mark Zuckerberg Is Trying To Insult Apple For Being Elite
115,FB,"Mon, 02 Apr 2018 20:00:00 -0400",Kara Swisher: I Think Mark Zuckerberg Is Trying To Insult Apple For Being Elite
116,FB,"Sun, 01 Apr 2018 20:00:00 -0400",MediaRadar CEO Sees Snap Potentially Leaving Facebook Ads
117,FB,"Sun, 01 Apr 2018 20:00:00 -0400",Zuckerberg Sees Several Years to Solve Facebook's Issues
118,AMZN,"Sun, 01 Apr 2018 20:00:00 -0400",Amazon Stock Plunged on Report Trump 'Obsessed' With Company
119,TSLA,"Sun, 01 Apr 2018 20:00:00 -0400",The Cult of Elon Musk Amid Tone-Deaf Tweets
120,AAPL,"Sun, 01 Apr 2018 20:00:00 -0400",Apple Said to Plan Move From Intel to Mac Chips
121,AMZN,"Sun, 01 Apr 2018 20:00:00 -0400","Amazon's Biggest Fear Factor Is Regulation, Says Jefferies' Thill"
122,TSLA,"Sun, 01 Apr 2018 20:00:00 -0400",Tesla Faces Bond Decisions as Debt Woes Worsen
123,AAPL,"Sun, 01 Apr 2018 20:00:00 -0400",Mark Zuckerberg Responds To Apple's Facebook Critique
124,FB,"Sun, 01 Apr 2018 20:00:00 -0400",Mark Zuckerberg Responds To Apple's Facebook Critique
125,FB,"Wed, 11 Apr 2018 20:00:00 -0400",Facebook CEO Tells Congress Regulation Is 'Inevitable'
126,FB,"Tue, 10 Apr 2018 20:00:00 -0400",Day 2 Highlights: Zuckerberg's House Testimony
127,FB,"Tue, 10 Apr 2018 20:00:00 -0400",The Highlights from Mark Zuckerberg's Marathon Congressional Testimony
128,AMZN,"Sun, 08 Apr 2018 20:00:00 -0400","Jim Cramer on Amazon, UPS, FedEx & Expedia"
129,FB,"Sun, 08 Apr 2018 20:00:00 -0400",It's Not Too Late For Mark Zuckerberg To Apologize. Here's Why | CNBC
130,FB,"Sun, 08 Apr 2018 20:00:00 -0400",Rein in Zuckerberg and you rein in the shining stars of the economy: Varney
131,FB,"Sun, 08 Apr 2018 20:00:00 -0400",Facebook CEO Zuckerberg's Prepared Testimony Released Ahead of Hearings
132,FB,"Sun, 08 Apr 2018 20:00:00 -0400",Facebook Now Lets You Know If Your Data Was Shared With Cambridge Analytica | CNBC
133,AAPL,"Thu, 19 Apr 2018 20:00:00 -0400",Facebook shares a buy despite data scandal?
134,FB,"Thu, 19 Apr 2018 20:00:00 -0400",Facebook shares a buy despite data scandal?
135,GOOG,"Thu, 19 Apr 2018 20:00:00 -0400",Facebook shares a buy despite data scandal?
136,AMZN,"Thu, 19 Apr 2018 20:00:00 -0400",Elon Musk too distracted by other projects to focus on Tesla?
137,TSLA,"Thu, 19 Apr 2018 20:00:00 -0400",Elon Musk too distracted by other projects to focus on Tesla?
138,AAPL,"Thu, 19 Apr 2018 20:00:00 -0400","Jim Cramer on Apple, Amazon, Alphabet and Nucor"
139,AMZN,"Thu, 19 Apr 2018 20:00:00 -0400","Jim Cramer on Apple, Amazon, Alphabet and Nucor"
140,GOOG,"Thu, 19 Apr 2018 20:00:00 -0400","Jim Cramer on Apple, Amazon, Alphabet and Nucor"
141,AMZN,"Thu, 19 Apr 2018 20:00:00 -0400",Comey scheduled to speak at Amazon on Monday
142,GOOG,"Thu, 19 Apr 2018 20:00:00 -0400",Silicon Valley companies join Google protestors in fighting drone program
143,AMZN,"Wed, 18 Apr 2018 20:00:00 -0400",Piper Jaffray's Olson Sees Amazon Web Services Growing
144,AMZN,"Wed, 18 Apr 2018 20:00:00 -0400","Jeff Bezos, Amazon have nothing to do with USPS issues: Mnuchin"
145,GOOG,"Wed, 18 Apr 2018 20:00:00 -0400",Google employees protest drone project
146,TSLA,"Wed, 18 Apr 2018 20:00:00 -0400",Tesla gets hit with workplace safety probe
147,AMZN,"Wed, 18 Apr 2018 20:00:00 -0400",Amazon Is a Growing Beast of Epic Proportions
148,MSFT,"Wed, 18 Apr 2018 20:00:00 -0400","Microsoft 'Exceeded Our Expectations,' Says LinkedIn CEO Jeff Weiner"
149,FB,"Wed, 18 Apr 2018 20:00:00 -0400",Will Facebook earnings take a hit from the data scandal?
150,AMZN,"Wed, 18 Apr 2018 20:00:00 -0400",Amazon Prime tops 100M users
151,FB,"Wed, 18 Apr 2018 20:00:00 -0400",Richard Quest: Companies should follow Starbucks' example
152,AAPL,"Wed, 18 Apr 2018 20:00:00 -0400","Jim Cramer on Apple, Procter & Gamble, Nucor and Acacia Communications"
153,FB,"Wed, 18 Apr 2018 20:00:00 -0400",Facebook now asking conservatives for help avoiding burdensome regulations
154,MSFT,"Wed, 18 Apr 2018 20:00:00 -0400",Microsoft puts sexiness ahead of security: Ex-CIA cyber officer
155,AAPL,"Wed, 18 Apr 2018 20:00:00 -0400",Mizuho's Lamba Downgrades Apple After 'Lackluster Demand'
156,AMZN,"Tue, 17 Apr 2018 20:00:00 -0400",Amazon's Bezos Reveals Company Has Topped 100 Million Prime Members
157,TSLA,"Tue, 17 Apr 2018 20:00:00 -0400",Tesla Looks Like One Hot Mess
158,AMZN,"Tue, 17 Apr 2018 20:00:00 -0400",Trump vs. Amazon: A personal vendetta against Jeff Bezos?
159,FB,"Tue, 17 Apr 2018 20:00:00 -0400",What Facebook is doing in Europe may be example to follow in US: Rep. Carter
160,NFLX,"Mon, 16 Apr 2018 20:00:00 -0400","Cash Burn 'Not a Concern' for Netflix, Says Helfstein"
161,TSLA,"Mon, 16 Apr 2018 20:00:00 -0400",Tesla Halts Model 3 Production
162,FB,"Mon, 16 Apr 2018 20:00:00 -0400",New Push To Nominate New Chairman At Facebook
163,AMZN,"Mon, 16 Apr 2018 20:00:00 -0400",Amazon's model is monopolistic: John Burnett
164,FB,"Mon, 16 Apr 2018 20:00:00 -0400","Microsoft, Facebook Pledge to Protect Customers From Cyberattacks"
165,MSFT,"Mon, 16 Apr 2018 20:00:00 -0400","Microsoft, Facebook Pledge to Protect Customers From Cyberattacks"
166,TSLA,"Mon, 16 Apr 2018 20:00:00 -0400",Tesla Pauses Model 3 Production To Focus On Automation
167,NFLX,"Mon, 16 Apr 2018 20:00:00 -0400",Why Skechers And General Electric Could See Huge Moves On
168,NFLX,"Sun, 15 Apr 2018 20:00:00 -0400",Netflix Tops Revenue and Subscriber Estimates
169,NFLX,"Sun, 15 Apr 2018 20:00:00 -0400",Can Netflix compete against Disney?
170,NFLX,"Sun, 15 Apr 2018 20:00:00 -0400","Netflix earnings, subscriber growth beat Wall Street expectations"
171,MSFT,"Thu, 26 Apr 2018 20:00:00 -0400","Jim Cramer on Microsoft, Chevron and Domino's Pizza"
172,FB,"Thu, 26 Apr 2018 20:00:00 -0400",Facebook Warns of More Data Leaks
173,AMZN,"Wed, 25 Apr 2018 20:00:00 -0400",UPS CFO Richard Peretz Says Amazon Is an Important Partner
174,FB,"Wed, 25 Apr 2018 20:00:00 -0400",Who Is Facebook Founder And CEO Mark Zuckerberg?
175,FB,"Wed, 25 Apr 2018 20:00:00 -0400",Facebook Just Announced a Major Share Buyback Program
176,FB,"Wed, 25 Apr 2018 20:00:00 -0400",Hard to find negatives in Facebook's 1Q report: Dan Niles
177,MSFT,"Wed, 25 Apr 2018 20:00:00 -0400",Breaking Down Microsoft's Fiscal 3rd-Qtr Earnings
178,AMZN,"Wed, 25 Apr 2018 20:00:00 -0400","Amazon earnings more than double, stock price jumps"
179,FB,"Wed, 25 Apr 2018 20:00:00 -0400",Facebook's 1Q results not impacted by data scandal
180,AAPL,"Tue, 24 Apr 2018 20:00:00 -0400",Tim Cook arrives at the White House for meeting with Trump
181,AMZN,"Tue, 24 Apr 2018 20:00:00 -0400",Will Amazon Bend the Cost Curve for Health Care?
182,AMZN,"Tue, 24 Apr 2018 20:00:00 -0400",Amazon Announces New Service That Will Deliver Packages To Your Car
183,FB,"Tue, 24 Apr 2018 20:00:00 -0400",Facebook Quarterly Earnings Beat Expectations
184,FB,"Tue, 24 Apr 2018 20:00:00 -0400",Facebook beats earnings expectations
185,AAPL,"Mon, 23 Apr 2018 20:00:00 -0400",Tech shares sell off
186,AMZN,"Mon, 23 Apr 2018 20:00:00 -0400",Tech shares sell off
187,FB,"Mon, 23 Apr 2018 20:00:00 -0400",Tech shares sell off
188,GOOG,"Mon, 23 Apr 2018 20:00:00 -0400",Tech shares sell off
189,AAPL,"Mon, 23 Apr 2018 20:00:00 -0400",Is the iPhone Supercycle Dead?
190,GOOG,"Mon, 23 Apr 2018 20:00:00 -0400","Alphabet, Coca-Cola, Caterpillar Reveal Earnings Season Will Be Awesome"
191,GOOG,"Mon, 23 Apr 2018 20:00:00 -0400",What Is Different About Google's New Spending Surge?
192,AMZN,"Mon, 23 Apr 2018 20:00:00 -0400","Biswal, Duggal on Amazon's Hurdles to Entry in India"
193,AMZN,"Mon, 23 Apr 2018 20:00:00 -0400",Which Tech Giant Has the Best Earnings Chart?
194,FB,"Mon, 23 Apr 2018 20:00:00 -0400",Which Tech Giant Has the Best Earnings Chart?
195,GOOG,"Mon, 23 Apr 2018 20:00:00 -0400",Which Tech Giant Has the Best Earnings Chart?
196,MSFT,"Mon, 23 Apr 2018 20:00:00 -0400",Which Tech Giant Has the Best Earnings Chart?
197,FB,"Mon, 23 Apr 2018 20:00:00 -0400",Kevin O'Leary: Social Media Overregulation Would Destroy Small Companies
198,AMZN,"Mon, 23 Apr 2018 20:00:00 -0400",Amazon will now deliver packages to your car
199,AMZN,"Sun, 22 Apr 2018 20:00:00 -0400",Amazon Expands D.C. Lobbying Influence as Business Grows
200,AMZN,"Sun, 22 Apr 2018 20:00:00 -0400",Fear Earnings From Big-Tech Names Like Google and Microsoft
201,FB,"Sun, 22 Apr 2018 20:00:00 -0400",Fear Earnings From Big-Tech Names Like Google and Microsoft
202,GOOG,"Sun, 22 Apr 2018 20:00:00 -0400",Fear Earnings From Big-Tech Names Like Google and Microsoft
203,MSFT,"Sun, 22 Apr 2018 20:00:00 -0400",Fear Earnings From Big-Tech Names Like Google and Microsoft
204,GOOG,"Sun, 22 Apr 2018 20:00:00 -0400","C3 IoT, Microsoft team up to bring AI to industrial 'Internet of Things'"
205,MSFT,"Sun, 22 Apr 2018 20:00:00 -0400","C3 IoT, Microsoft team up to bring AI to industrial 'Internet of Things'"
206,GOOG,"Sun, 22 Apr 2018 20:00:00 -0400",Alphabet First-Quarter Earnings Beats Estimates
207,FB,"Sun, 22 Apr 2018 20:00:00 -0400","What to Expect From Facebook, Twitter Earnings"
208,AMZN,"Sun, 22 Apr 2018 20:00:00 -0400",When Will Amazon's Top-Secret Domestic Robots Be in Consumer Homes?
209,FB,"Sun, 22 Apr 2018 20:00:00 -0400",Google gathers more of your personal data than Facebook?
210,GOOG,"Sun, 22 Apr 2018 20:00:00 -0400",Google gathers more of your personal data than Facebook?
211,GOOG,"Sun, 22 Apr 2018 20:00:00 -0400",Alphabet 1Q EPS Beats Highest Estimate
212,GOOG,"Sun, 22 Apr 2018 20:00:00 -0400",Google parent company Alphabet beats revenue target
213,AAPL,"Mon, 07 May 2018 20:00:00 -0400",Apple inches closer to $1 trillion valuation
214,TSLA,"Mon, 07 May 2018 20:00:00 -0400",Jim Cramer: Elon Musk Would Do A Debt Deal If Tesla Needs Capital
215,GOOG,"Mon, 07 May 2018 20:00:00 -0400",Google's Duplex Assistant phone call blew my mind!
216,GOOG,"Mon, 07 May 2018 20:00:00 -0400","Google I/O 2018 highlights: Android P, Google Lens and AI"
217,GOOG,"Mon, 07 May 2018 20:00:00 -0400",Google I/O 2018 keynote in 14 minutes
218,AAPL,"Sun, 06 May 2018 20:00:00 -0400","Jim Cramer on Warren Buffett, Apple, McDonald's, Yum! Brands and PayPal"
219,MSFT,"Sun, 06 May 2018 20:00:00 -0400",Microsoft CEO Satya Nadella On The Cloud Computing Industry And The Future Of Microsoft
220,AAPL,"Sun, 06 May 2018 20:00:00 -0400",Bill Gates: Apple Is An 'Amazing' Company
221,MSFT,"Sun, 06 May 2018 20:00:00 -0400",Microsoft's Build 2018 keynote highlights
222,AMZN,"Sun, 06 May 2018 20:00:00 -0400","Amazon eyeing Washington, DC area for HQ2?"
223,FB,"Thu, 03 May 2018 20:00:00 -0400",Will Facebook ever become an open marketplace?
224,AAPL,"Thu, 03 May 2018 20:00:00 -0400",Kraft Heinz continues to grow in changing waters of food industry
225,AAPL,"Thu, 03 May 2018 20:00:00 -0400",Berkshire Hathaway Bought 75 Million Apple Shares In Q1
226,AAPL,"Thu, 03 May 2018 20:00:00 -0400",Elon Musk's temperament a throwback to Steve Jobs?
227,TSLA,"Thu, 03 May 2018 20:00:00 -0400",Elon Musk's temperament a throwback to Steve Jobs?
228,TSLA,"Thu, 03 May 2018 20:00:00 -0400",Elon Musk's 5 Most Outrageous Moments From Tesla's Earnings Call
229,TSLA,"Wed, 02 May 2018 20:00:00 -0400",Breaking Down Elon Musk's One of a Kind Earnings Call
230,AAPL,"Wed, 02 May 2018 20:00:00 -0400",Steve Jobs Made 3 AM Phone Calls to Argue About Apple Ads
231,TSLA,"Wed, 02 May 2018 20:00:00 -0400",Is Elon Musk the right person to lead Tesla now?
232,AAPL,"Wed, 02 May 2018 20:00:00 -0400","Cramer on Apple, Tesla, ConAgra, Coupa and Dominion Energy"
233,TSLA,"Wed, 02 May 2018 20:00:00 -0400","Cramer on Apple, Tesla, ConAgra, Coupa and Dominion Energy"
234,TSLA,"Wed, 02 May 2018 20:00:00 -0400",Jim Cramer Defends Elon Musk's Crazy Call: Every CEO Would Love To Go Off Like That
235,FB,"Wed, 02 May 2018 20:00:00 -0400",Conservative leaders take on big tech over censorship
236,GOOG,"Wed, 02 May 2018 20:00:00 -0400",Conservative leaders take on big tech over censorship
237,AMZN,"Wed, 02 May 2018 20:00:00 -0400",Amazon fights Seattle tax proposal
238,TSLA,"Wed, 02 May 2018 20:00:00 -0400",Tesla's Elon Musk mocks analysts during conference call
239,AMZN,"Tue, 01 May 2018 20:00:00 -0400",Jeff Bezos On Breaking Up And Regulating Amazon
240,AAPL,"Tue, 01 May 2018 20:00:00 -0400",Apple crushes 2Q expectations and Tesla earnings preview
241,TSLA,"Tue, 01 May 2018 20:00:00 -0400",Apple crushes 2Q expectations and Tesla earnings preview
242,AAPL,"Tue, 01 May 2018 20:00:00 -0400",Jim Cramer: Apple's Definitely Become A Subscription Company
